event_id,transaction_id,store_id,customer_id,amount,payment_method,status,event_type,risk_type,severity,risk_score,risk_reason
EVT-1001,TXN-1001,1,CUST-736,277.55,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1002,TXN-1002,2,CUST-838,163.6,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1003,TXN-1003,9,CUST-417,277.87,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1004,TXN-1004,6,CUST-191,534.72,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1005,TXN-1005,1,CUST-711,442.16,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1006,TXN-1006,2,CUST-720,119.59,CASH,FAILED,PAYMENT_FAILED,Failed Payment,Medium,60,Payment transaction failed and may require retry or customer follow-up.
EVT-1007,TXN-1007,5,CUST-672,435.65,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1008,TXN-1008,6,CUST-501,269.85,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1009,TXN-1009,5,CUST-955,246.97,GIFT_CARD,FAILED,PAYMENT_FAILED,Failed Payment,Medium,60,Payment transaction failed and may require retry or customer follow-up.
EVT-1010,TXN-1010,1,CUST-648,415.28,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1011,TXN-1011,6,CUST-224,506.43,CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1012,TXN-1012,9,CUST-151,268.63,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1013,TXN-1013,5,CUST-760,105.01,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1014,TXN-1014,3,CUST-415,475.49,CASH,FAILED,PAYMENT_FAILED,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1015,TXN-1015,9,CUST-192,285.13,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1016,TXN-1016,9,CUST-388,473.21,CARD,FAILED,PAYMENT_FAILED,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1017,TXN-1017,10,CUST-225,586.2,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1018,TXN-1018,2,CUST-514,247.77,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1019,TXN-1019,9,CUST-389,329.0,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1020,TXN-1020,7,CUST-742,219.89,CARD,FAILED,PAYMENT_FAILED,Failed Payment,Medium,60,Payment transaction failed and may require retry or customer follow-up.
EVT-1021,TXN-1021,6,CUST-353,52.09,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1022,TXN-1022,8,CUST-516,62.72,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
